decayed,image,names,name,norad_cat_id,status,telemetries
null,https://db-satnogs.freetls.fastly.net/media/satellites/TISAT-1.jpg,,TISAT 1,36799,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/FENGYUN-3B.jpg,Feng-Yun-3B,FENGYUN 3B,37214,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/o_oreos.jpg,USA 219,O/OREOS,37224,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/jugnu.jpeg,,JUGNU,37839,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/srmsat.jpg,,SRMSAT,37841,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/mcubed.jpg,E1P-U2- Michigan Multipurpose Minisat,M-CUBED & EXP-1 PRIME,37855,alive,[]
2020-05-01T18:07:30Z,https://db-satnogs.freetls.fastly.net/media/satellites/ALMASAT-1.jpeg,,ALMASAT-1,38078,re-entered,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/horyu-2.jpg,,HORYU 2,38340,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/AENEAS-1.jpg,,AENEAS,38760,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/METOP-B_26NGbXF.jpg,,METOP-B,38771,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/saral__2.jpg,,SARAL,39086,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/08aae20b.jpg,,AAUSAT 3,39087,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/strand1.jpg,,STRAND-1,39090,alive,[{"decoder":"strand"}]
null,https://db-satnogs.freetls.fastly.net/media/satellites/BRITE-AUSTRIA.jpeg,BRITE-Austria - CANX-3B,BRITE-AUSTRIA,39091,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/UNIBRITE.jpg,CANX-3A,UNIBRITE,39092,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/image_gallery.jpeg,,SOMP,39134,alive,[]
null,null,,BEESAT-3,39135,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/beesat2.jpeg,,BEESAT-2,39136,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/NEE-01_PEGASUS.jpg,NEE-01,NEE-01 PEGASUS,39151,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/CUBEBUG-1.jpg,CAPITAN BETO,CUBEBUG-1,39153,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/ESTCUBE-1.jpg,,ESTCUBE 1,39161,alive,[]
null,null,Feng-Yun-3C,FENGYUN 3C,39260,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/CASSIOPE_satellite.jpeg,,CASSIOPE,39265,alive,[]
2017-01-31T00:00:00Z,https://db-satnogs.freetls.fastly.net/media/satellites/PHONESAT_2.4_vB6xg6c.png,,PHONESAT 2.4,39381,re-entered,[]
2014-10-23T00:00:00Z,https://db-satnogs.freetls.fastly.net/media/satellites/CAPE-2.jpg,,CAPE-2,39382,re-entered,[]
2016-08-31T00:00:00Z,https://db-satnogs.freetls.fastly.net/media/satellites/DRAGONSAT-1.jpg,,DRAGONSAT-1,39383,re-entered,[]
