baud,downlink_drift,alive,uplink_drift,invert,citation,description,type,norad_cat_id,uuid,mode,mode_id,service,downlink_high,uplink_high,downlink_low,updated,uplink_low,uplink_mode,status
null,null,true,null,false,http://www.amsatuk.me.uk/iaru/formal_detail.php?serialnum=572,Mode V SSTV,Transmitter,99809,NZe9K6tc4tyk9GxYgfHAXh,SSTV,5,Unknown,null,null,145840000,2019-07-04T21:45:48.054332Z,null,null,active
9600.0,null,true,null,false,http://www.amsatuk.me.uk/iaru/formal_detail.php?serialnum=572,Mode U GFSK9k6 TLM,Transmitter,99809,UJUqAdUGDkaLpTCvk6j5H8,GFSK,75,Unknown,null,null,437025000,2019-07-04T21:45:48.056944Z,null,null,active
9600.0,null,true,null,false,http://www.amsatuk.me.uk/iaru/formal_detail.php?serialnum=572,Mode U GMSK9k6 TLM,Transmitter,99809,QyWuvTPEMp7Yskdz3XZSQJ,GMSK,63,Unknown,null,null,437025000,2019-07-04T21:45:48.059544Z,null,null,active
null,null,true,null,false,http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=521,Mode U CW Beacon,Transmitter,44419,QC3VRyswS6cPkxqp3Cxpka,CW,6,Unknown,null,null,435325000,2019-07-04T21:45:48.064864Z,null,null,active
null,null,true,null,false,http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=521,Mode V/U Transpoder,Transponder,44419,AP8GHaDWQxvrRWPvQJN2H3,FM,1,Unknown,435965000,145965000,435935000,2019-07-04T21:45:48.067514Z,145935000,FM,active
4800.0,null,true,null,false,https://www.amsat.org/pipermail/amsat-bb/2019-July/073905.html,Mode U GMSK4k8 TLM,Transmitter,44419,FKY3GgdaMXZPiWgzNWHLNW,GMSK,63,Unknown,null,null,435325000,2019-07-04T21:45:48.070164Z,null,null,active
1200.0,null,true,null,false,https://www.raumfahrttechnik.tu-berlin.de/menue/amateur_radio/parameter/en/,Mode U GMSK1k2 TLM,Transmitter,99806,Vs6DbmVMsW5JHWQSGkcjMH,GMSK,63,Unknown,null,null,435950000,2019-07-04T21:45:48.072720Z,null,null,active
1200.0,null,true,null,false,https://www.raumfahrttechnik.tu-berlin.de/menue/amateur_radio/parameter/en/,Mode U GMSK1k2 TLM,Transmitter,99805,tn55cu33k7yWBvhRGXoroc,GMSK,63,Unknown,null,null,435950000,2019-07-04T21:45:48.075263Z,null,null,active
1200.0,null,true,null,false,https://www.raumfahrttechnik.tu-berlin.de/menue/amateur_radio/parameter/en/,Mode U GMSK1k2 TLM,Transmitter,99804,Z8vjLjgMr9FD6CAJLz9J7U,GMSK,63,Unknown,null,null,435950000,2019-07-04T21:45:48.077770Z,null,null,active
1200.0,null,true,null,false,https://www.raumfahrttechnik.tu-berlin.de/menue/amateur_radio/parameter/en/,Mode U GMSK1k2 TLM,Transmitter,99803,eqePydwing5atKGaBEFQkG,GMSK,63,Unknown,null,null,435950000,2019-07-04T21:45:48.080393Z,null,null,active
null,null,true,null,false,https://www.raumfahrttechnik.tu-berlin.de/menue/amateur_radio/parameter/en/,Mode U CW Beacon,Transmitter,99802,Z9p78prM5K3Ms3A2mx5EdQ,CW,6,Unknown,null,null,435950000,2019-07-04T21:45:48.082895Z,null,null,active
4800.0,null,true,null,false,https://www.raumfahrttechnik.tu-berlin.de/menue/amateur_radio/parameter/en/,Mode U GMSK4k8 TLM,Transmitter,99802,7RxugSYTf4sUu6S3gdeLob,GMSK,63,Unknown,null,null,435950000,2019-07-04T21:45:48.085441Z,null,null,active
null,null,true,null,false,https://www.move2space.de/MOVE-II/satellite/radio-amateurs/,Mode V CW Beacon,Transmitter,99801,6PMJaNzeqyaLHDazrHWHHK,CW,6,Unknown,null,null,145840000,2019-07-04T21:45:48.088859Z,null,null,active
12500.0,null,true,null,false,https://www.move2space.de/MOVE-II/satellite/radio-amateurs/,Mode V BPSK12k5 TLM,Transmitter,99801,iW5XyUVFVZPvCxfKyuYXhW,BPSK,50,Unknown,null,null,145840000,2019-07-04T21:45:48.091478Z,null,null,active
null,null,true,null,false,https://www.wmo-sat.info/oscar/satellites/view/483,AHRPT S-E RHCP D 3000 kbps,Transmitter,44387,ZgWzj9ALF7FpJoxLzeXdDM,AHRPT,17,Unknown,null,null,1705000000,2019-07-04T21:45:48.099275Z,null,null,active
null,null,true,null,false,https://www.wmo-sat.info/oscar/satellites/view/483,AHRPT S-E RHCP D 3000 kbps,Transmitter,44387,Yko58xZnGVtJiuwFZ2TbKJ,AHRPT,17,Unknown,null,null,1700000000,2019-07-04T21:45:48.101770Z,null,null,active
4800.0,null,true,null,false,http://www.lucky7satellite.org/radioamateurs,Mode U GFSK4k8 TLM,Transmitter,44406,o5eiLkcaNbq6BX3gv6TB2c,GFSK,75,Unknown,null,null,437525000,2019-07-05T00:03:54.925550Z,null,null,active
9600.0,0,true,null,false,https://csu.edu.umontpellier.fr/en/mtcube-tweets/,Mode U GFSK9k6 G3RUH AX.25,Transmitter,99811,892LK7SvkoqXsmPobLSEUj,GFSK,75,Unknown,null,null,436750000,2019-07-05T20:36:23.112141Z,null,null,active
9600.0,null,false,null,false,https://csu.edu.umontpellier.fr/en/mtcube-tweets/,Mode U FSK9k6 AX.25 TLM,Transmitter,99811,6oGLzx5qpCQjk2E8PE59QS,FSK,72,Unknown,null,null,437750000,2019-07-05T20:36:23.114765Z,null,null,invalid
null,null,true,null,false,https://r4uab.ru/frequency/,Mode U CW Beacon,Transmitter,99816,PvztPB53Swk8hGHMtvLyPH,CW,6,Unknown,null,null,437050000,2019-07-06T16:58:34.084787Z,null,null,active
4800.0,null,true,null,false,https://r4uab.ru/frequency/,Mode U Mobitex 4k8,Transmitter,44392,XYEPdSo3Avk4NKdgPAgaKL,FM,1,Unknown,null,null,436500000,2019-07-06T16:58:34.087570Z,null,null,active
